title_pt,title_en,year,rating,genre,sinopse,cluster,rating_original,year_original
Glória Feita de Sangue,62. Paths of Glory,-1.166039939245651,0.4065836783310401,Drama,"Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.",0,8.4,1957
Vingadores: Guerra Infinita,63. Avengers: Infinity War,1.2301477812092985,0.4065836783310401,Ação,Os Vingadores e seus aliados deverão sacrificar tudo em uma tentativa de derrotar o poderoso Thanos antes que sua explosão de devastação ponha fim ao universo.,4,8.4,2018
O Iluminado,64. The Shining,-0.2625593233364079,0.4065836783310401,Drama,"Uma família se dirige a um hotel isolado para o inverno, onde uma presença sinistra influencia a violência do pai, enquanto seu filho psíquico vê presságios horríveis do passado e do futuro.",3,8.4,1980
O Grande Ditador,65. The Great Dictator,-1.8338299597003092,0.4065836783310401,Comédia,O ditador Hynkel tenta expandir seu império enquanto um pobre barbeiro judeu tenta evitar a perseguição do regime de Hynkel.,0,8.4,1940
Testemunha de Acusação,66. Witness for the Prosecution,-1.166039939245651,0.4065836783310401,Policial,Um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.,3,8.4,1957
Homem-Aranha: No Aranhaverso,67. Spider-Man: Into the Spider-Verse,1.2301477812092985,0.4065836783310401,Animação,"Um jovem se torna o Homem Aranha de sua realidade, cruzando seu caminho com cinco colegas de outras dimensões para impedir uma ameaça a todas as realidades.",0,8.4,2018
"Aliens, O Resgate",68. Aliens,-0.0268687278818227,0.4065836783310401,Ação,Ellen Ripley é salvada depois de estar dormida por 57 anos. A luna que o Nostromo visitou foi colonizada mas o contado se perdeu.,3,8.4,1986
Beleza Americana,69. American Beauty,0.4837942289364452,-0.011712287030108856,Drama,Um pai sexualmente frustrado tem uma crise existencial depois de conhecer a melhor amiga da sua filha.,4,8.3,1999
Batman: O Cavaleiro das Trevas Ressurge,70. The Dark Knight Rises,0.9944571857547131,0.4065836783310401,Ação,"Oito anos depois da anarquia do Coringa, Batman com ajuda da Mulher Gato, tentam salvar Gotham do terrorista Bane.",0,8.4,2012
Bastardos Inglórios,71. Inglourious Basterds,0.8766118880274205,-0.011712287030108856,Aventura,"Na França ocupada pelos nazistas durante a Segunda Guerra Mundial, um plano para assassinar líderes nazistas por parte de um grupo de soldados judeus dos EUA coincide com os planos de vingança da dona de uma sala de cinema.",3,8.3,2009
Dr. Fantástico,72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,-0.8910675778819684,0.4065836783310401,Comédia,Um general alienado provoca um potencial holocausto nuclear que uma sala de guerra cheia de políticos e generais tenta freneticamente parar.,3,8.4,1964
Oldboy,73. Oldboy,0.6409212925728354,0.4065836783310401,Ação,"Depois de ter sido raptado e preso por quinze anos, Oh Dae-Su é libertado, e descobre que tem 5 dias para encontrar seu sequestrador.",1,8.4,2003
Viva: A Vida é uma Festa,74. Coco,1.1908660153002009,0.4065836783310401,Animação,Miguel entra na terra dos mortos para encontrar a seu bisavó quem era um lendário cantante.,3,8.4,2017
Amadeus,75. Amadeus,-0.10543225970001777,0.4065836783310401,Biografia,"A vida, sucessos e tribulações de Wolfgang Amadeus Mozart de acordo com Antonio Salieri, um compositor que era contemporâneo, que sempre teve ciúmes dele e que alegou tê-lo matado.",0,8.4,1984
Toy Story,76. Toy Story,0.3266671653000551,-0.011712287030108856,Animação,Um brinquedo do cauboi se sente profundamente ameaçado e celoso quando um brinquedo patrulheiro espacial passa a ter mais atençao do garoto.,4,8.3,1995
Coração Valente,77. Braveheart,0.3266671653000551,-0.011712287030108856,Biografia,"Quando sua noiva en segredo é assassinada, William Wallace comença uma revolta contra o rey Eduardo I da Inglaterra.",2,8.3,1995
O Barco: Inferno no Mar,78. Das Boot,-0.22327755742731037,0.4065836783310401,Drama,"O mundo claustrofóbico de um submarino da Segunda Guerra Mundial, cheio de tédio, sujeira e terror.",2,8.4,1981
Coringa,79. Joker,1.269429547118396,0.4065836783310401,Policial,Um comediante falido enlouquece e se torna um assassino psicopata.,3,8.4,2019
Vingadores: Ultimato,80. Avengers: Endgame,1.269429547118396,0.4065836783310401,Ação,"Após os eventos devastadores de Vingadores: Guerra Infinita , o universo está em ruínas, e com a ajuda de aliados os Vingadores se reúnem para desfazer as ações de Thanos e restaurar a ordem.",1,8.4,2019
Princesa Mononoke,81. Princess Mononoke,0.40523069711825016,-0.011712287030108856,Animação,"Numa viagem para descobrir a cura contra a maldição de Tatarigami, Ashitaka, se encontra uma guerra entre os deuses da foresta e Tatara, uma colônia mineira.",0,8.3,1997
Gênio Indomável,82. Good Will Hunting,0.40523069711825016,-0.011712287030108856,Drama,"Will Hunting, um zelador duma Universidade, tem habilidades para a matemática, mas precisa da ajuda dum psicólogo para encontrar seu propósito.",4,8.3,1997
Era uma Vez na América,83. Once Upon a Time in America,-0.10543225970001777,-0.011712287030108856,Policial,Um ex criminal judeu da época da proibição volta a Manhattan onde deberá confrontar seu pasado.,2,8.3,1984
Your Name.,84. Your Name.,1.1515842493911035,0.4065836783310401,Animação,"Dois estranhos estão ligados de uma maneira bizarra, mais quando uma conexão é formada, a distância será a única coisa que os manterá separados?",3,8.4,2016
3 Idiotas,85. 3 Idiots,0.8766118880274205,0.4065836783310401,Comédia,"Dois amigos procuram seu companheiro perdido. Eles se lembram de seus dias de faculdade e como seu amigo os inspirou a pensar de maneira diferente, mesmo quando o resto do mundo os chamava idiotas.",4,8.4,2009
Céu E Inferno,86. High and Low,-0.9303493437910659,0.4065836783310401,Policial,Um executivo de uma empresa de calçados torna-se vítima de extorsão quando o filho de seu motorista é sequestrado e retido para resgate.,4,8.4,1963
Cantando na Chuva,87. Singin' in the Rain,-1.3624487687911386,-0.011712287030108856,Comédia,Uma produtora de cinema e elenco fazem uma transição difíci.,0,8.3,1952
Réquiem para um Sonho,88. Requiem for a Dream,0.5230759948455428,-0.011712287030108856,Drama,As utopias causadas pelo uso de drogas em quatro pessoas de Coney Island se rompem quando seus vícios as dominam.,3,8.3,2000
Cafarnaum,89. Capernaum,1.2301477812092985,0.4065836783310401,Drama,"Ao cumprir uma sentença de cinco anos por um crime violento, uma criança de 12 anos processou seus pais por negligência.",4,8.4,2018
Toy Story 3,90. Toy Story 3,0.9158936539365181,-0.011712287030108856,Animação,"Os brinquedos são dados por erro a uma creche, Woody junto com os outros brinquedos tentaram voltar a casa do Andy.",3,8.3,2010
Vá e Veja,91. Come and See,-0.06615049379092024,0.4065836783310401,Drama,"Depois de encontrar uma arma, um jovem se une as forças da resistença russa contra os alemães na segunda guerra mundial.",0,8.4,1985
"Star Wars, Episódio VI: O Retorno do Jedi",92. Star Wars: Episode VI - Return of the Jedi,-0.14471402560911528,-0.011712287030108856,Ação,"Depois de uma missão ousada para resgatar Han Solo da cabana de Jabba, os rebeldes partem para fazer Endor destruir a mais poderosa Estrela da Morte. Enquanto isso, Luke tenta trazer Darth Vader de volta do lado negro, sem cair na armadilha do Imperador.",4,8.3,1983
Brilho Eterno de uma Mente sem Lembranças,93. Eternal Sunshine of the Spotless Mind,0.6802030584819329,-0.011712287030108856,Drama,"Quando sua relaçao se volta complicada, um casal tenta um procedimento médico para que suas memorias sejam apagadas.",0,8.3,2004
2001: Uma Odisséia no Espaço,94. 2001: A Space Odyssey,-0.7339405142455783,-0.011712287030108856,Aventura,"Trás descobrir um misterioso artefato na superfície da Lua, a humanidade tenta encontrar seus origens com a ajuda da inteligença do ordernador HAL 9000.",3,8.3,1968
A Caça,95. The Hunt,0.9944571857547131,-0.011712287030108856,Drama,"Um professor vive uma vida solitária enquanto luta pela custódia de seu filho. Sua vida melhora lentamente quando ele encontra o amor e recebe boas notícias de seu filho, mas sua sorte está prestes a mudar por uma pequena mentira inocente.",3,8.3,2012
Cães de Aluguel,96. Reservoir Dogs,0.2088218675727625,-0.011712287030108856,Policial,"Quando um simples roubo de jóias dá errado, os criminosos sobreviventes começam a suspeitar que um deles é um informante da polícia.",3,8.3,1992
Viver,97. Ikiru,-1.3624487687911386,-0.011712287030108856,Drama,"Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida.",2,8.3,1952
Lawrence da Arábia,98. Lawrence of Arabia,-0.9696311097001635,-0.011712287030108856,Aventura,"A história de T. E. Lawrence, o oficial inglês que conseguiu unir e liderar várias tribos árabes, durante a Primeira Guerra Mundial para lutar contra os turcos.",2,8.3,1962
Cidadão Kane,99. Citizen Kane,-1.7945481937912116,-0.011712287030108856,Drama,"Após a morte de um magnata na indústria editorial, jornalistas correm para descobrir o significado da última palavra que ele pronunciou.",3,8.3,1941
"M, o Vampiro de Dusseldorf",100. M,-2.1873658528821873,-0.011712287030108856,Policial,"Quando a polícia de uma cidade alemã não consegue encontrar um assassino de crianças, outros criminosos decidem ajudar na caçada humana.",0,8.3,1931
Intriga Internacional,101. North by Northwest,-1.087476407427456,-0.011712287030108856,Ação,Um executivo de publicidade de Nova Iorque tem que fugir quando é confundido por um agente de governo.,0,8.3,1959
Se Meu Apartamento Falasse,102. The Apartment,-1.0481946415183585,-0.011712287030108856,Comédia,"Um homem tenta subir na empresa permitindo que seus executivos usem seu apartamento para encontros, mas surgem complicações e um romance próprio.",2,8.3,1960
Um Corpo que Cai,103. Vertigo,-1.1267581733365535,-0.011712287030108856,Mistério,Um ex-policial luta contra seus demônios enquanto está obcecado por uma mulher bonita.,3,8.3,1958
Pacto de Sangue,104. Double Indemnity,-1.676702896063919,-0.011712287030108856,Policial,"Um agente de seguros se deixa convencer de um esquema de assassinato e fraude, o que desperta a suspeita de um investigador.",3,8.3,1944
O Fabuloso Destino de Amélie Poulain,105. Amélie,0.5623577607546403,-0.011712287030108856,Comédia,"Amélie é uma parisiense ingênua com seu próprio senso de justiça. Ela decide ajudar as pessoas ao seu redor e, no caminho, descobre o amor.",0,8.3,2001
Scarface,106. Scarface,-0.14471402560911528,-0.011712287030108856,Policial,"Em Miamo em 1980, um imigrante cubano toma o control dum cartel de drogas.",0,8.3,1983
Nascido para Matar,107. Full Metal Jacket,0.012413038027274835,-0.011712287030108856,Drama,Um marinho dos Estados Unidos nota os deshumanizantes efeitos da guerra do Vietnã em seus colegas.,3,8.3,1987
Laranja Mecânica,108. A Clockwork Orange,-0.6160952165182857,-0.011712287030108856,Policial,"No futuro, um jovem líder de gang é levado para prisão e decide ser voluntário em um experimento, mas os resultados não são os esperados.",3,8.3,1971
Incêndios,109. Incendies,0.9158936539365181,-0.011712287030108856,Drama,Os gêmeos viajam para o Oriente Médio para descobrir sua história familiar e cumprir os últimos desejos de sua mãe.,4,8.3,2010
Hamilton,110. Hamilton,1.3087113130274934,-0.011712287030108856,Biografia,"A vida de um dos maiores fundadores e primeiro secretário do Tesouro da América, Alexander Hamilton.",2,8.3,2020
